TIME/NA_ITEM;kvartal;Gross domestic product at market prices;Final consumption expenditure;Final consumption expenditure of general government;Household and NPISH final consumption expenditure;Final consumption expenditure of households;Final consumption expenditure of NPISH;Actual individual consumption;Compensation of employees;Wages and salaries;Employers' social contributions;Taxes on production and imports less subsidies;Taxes on production and imports;Final consumption expenditure and gross capital formation;Final consumption expenditure, gross capital formation and exports of goods and services
1996;1;8672;6657;1896;4760;4662;98;5755;3765;2784;981;1315;1499;8759;12034
1996;2;9224;6815;2085;4731;4620;111;5866;4077;3016;1062;1212;1417;9065;12890
1996;3;9004;6752;1877;4876;4782;94;5830;3891;2880;1011;1404;1601;8735;12799
1996;4;9826;7204;2077;5128;5017;110;6239;4479;3306;1172;1417;1591;9980;14160
1997;1;9765;7543;2180;5363;5249;115;6542;4299;3141;1158;1265;1425;10049;14049
1997;2;10438;7450;2274;5175;5059;117;6379;4561;3334;1226;1454;1616;10300;15169
1997;3;10412;7420;2105;5315;5214;101;6365;4462;3270;1192;1373;1653;9995;15416
1997;4;11086;7924;2292;5632;5516;116;6829;4983;3640;1344;1536;1622;10961;16585
1998;1;10416;7986;2300;5686;5545;141;6923;4539;3321;1218;1403;1582;10706;15919
1998;2;10971;7840;2336;5504;5362;142;6753;4761;3488;1272;1504;1684;11101;16880
1998;3;10757;7662;2129;5533;5413;120;6613;4554;3342;1212;1548;1724;10744;16709
1998;4;11317;8122;2303;5819;5682;137;7030;5114;3743;1371;1492;1673;11574;17562
1999;1;10205;8131;2251;5880;5730;150;7044;4414;3281;1132;1333;1584;10656;15988
1999;2;11412;8440;2353;6087;5931;156;7302;4872;3628;1244;1592;1820;11792;17869
1999;3;11724;8634;2258;6376;6238;139;7534;4815;3593;1222;1672;1890;11805;18497
1999;4;12772;9500;2853;6647;6489;157;8155;5643;4195;1448;1925;2099;13102;20594
2000;1;11516;9217;2478;6739;6558;181;7990;5103;3808;1295;1728;1975;12099;19198
2000;2;12630;9329;2543;6786;6606;180;8072;5537;4139;1398;1858;2079;12782;20985
2000;3;13194;9532;2533;6998;6825;173;8283;5554;4159;1395;1905;2123;13468;22381
2000;4;13955;10572;3224;7349;7152;197;9040;6404;4779;1625;2054;2211;14807;24775
2001;1;12832;10076;2686;7390;7193;197;8765;5807;4417;1391;1687;1929;13432;22279
2001;2;15166;10926;3010;7916;7708;209;9454;6575;5011;1564;2113;2335;15352;25176
2001;3;15767;11334;3028;8307;8108;198;9849;6686;5098;1587;2311;2569;15398;25360
2001;4;16445;12704;3890;8814;8576;238;10792;7793;5925;1868;2047;2346;16744;27057
2002;1;16241;12864;3594;9270;9024;247;11137;7226;5495;1731;2090;2365;16722;26606
2002;2;17753;13100;3678;9421;9164;257;11349;7658;5838;1820;2260;2559;17670;28462
2002;3;18124;13498;3554;9944;9690;254;11793;7566;5776;1791;2468;2784;18150;28525
2002;4;19788;15345;4814;10531;10272;259;13036;9178;6978;2199;2558;2898;20819;31440
2003;1;17171;14814;4376;10438;10157;282;12760;8240;6368;1872;2358;2623;17953;27687
2003;2;18777;14493;4111;10382;10098;284;12569;8379;6506;1874;2695;2951;19560;29842
2003;3;18737;14727;3964;10763;10489;274;12876;8178;6355;1823;2645;2975;19418;30210
