TIME/NA_ITEM;kvartal;Gross domestic product at market prices;Final consumption expenditure;Final consumption expenditure of general government;Household and NPISH final consumption expenditure;Final consumption expenditure of households;Final consumption expenditure of NPISH;Actual individual consumption;Compensation of employees;Wages and salaries;Employers' social contributions;Taxes on production and imports less subsidies;Taxes on production and imports;Final consumption expenditure and gross capital formation;Final consumption expenditure, gross capital formation and exports of goods and services
1996;1;3989;3048;938;2111;2084;27;2504;1502;1113;389;435;604;4509;6489
1996;2;4278;3163;899;2264;2238;26;2674;1661;1257;404;389;551;4582;6827
1996;3;4437;3178;926;2252;2227;25;2670;1735;1301;434;439;590;4706;7025
1996;4;4288;3308;1056;2252;2228;23;2713;1988;1526;462;395;557;5001;7338
1997;1;4461;3230;850;2380;2358;22;2866;1738;1338;400;380;575;4959;7372
1997;2;4859;3576;965;2612;2590;22;3164;1959;1508;451;423;628;5372;8133
1997;3;5112;3627;1019;2608;2585;23;3176;2089;1594;495;509;700;5498;8173
1997;4;4871;3736;1133;2603;2579;24;3215;2309;1771;538;381;594;5288;8067
1998;1;4874;3627;941;2686;2659;27;3235;1907;1457;450;496;640;5393;7550
1998;2;5316;4000;1078;2922;2891;31;3522;2186;1702;484;541;691;5984;8359
1998;3;5297;3986;1117;2870;2835;35;3477;2153;1637;516;512;636;5722;8179
1998;4;4867;3748;1154;2593;2557;37;3213;2223;1705;518;488;628;5413;7896
1999;1;4656;3397;817;2580;2539;41;2984;1749;1356;393;373;498;4860;6837
1999;2;4896;3572;898;2675;2632;43;3106;1868;1462;406;446;581;5226;7448
1999;3;4965;3680;926;2754;2708;46;3201;1971;1516;455;508;614;5046;7369
1999;4;4976;3997;1131;2866;2817;49;3400;2251;1739;512;551;697;5215;7957
2000;1;5100;3794;876;2918;2868;50;3376;2023;1592;431;494;618;5194;7767
2000;2;5722;4137;1008;3129;3079;51;3605;2172;1673;499;574;724;5675;8662
2000;3;5764;4206;1055;3150;3099;51;3627;2243;1699;544;555;691;5733;8796
2000;4;5752;4603;1377;3226;3177;50;3764;2532;1930;603;620;757;6301;9744
2001;1;5343;4053;913;3141;3093;48;3608;2061;1599;462;507;637;5701;8920
2001;2;6103;4436;1112;3323;3275;48;3818;2267;1736;531;519;649;6556;10072
2001;3;6154;4661;1191;3470;3421;48;4004;2351;1790;561;477;602;6522;9982
2001;4;6279;5158;1528;3629;3580;50;4205;2683;2060;623;697;808;7017;10621
2002;1;5993;4567;1038;3529;3477;52;4063;2308;1777;531;582;690;6363;9632
2002;2;6476;4892;1232;3661;3607;54;4212;2478;1898;580;591;687;6954;10645
2002;3;6682;4935;1240;3694;3641;53;4260;2486;1882;603;628;720;7010;10890
2002;4;7168;5753;1656;4097;4043;55;4725;3037;2328;709;833;927;7903;12192
2003;1;6719;5136;1164;3972;3914;58;4529;2531;1962;568;604;712;6899;10901
2003;2;7514;5540;1367;4174;4109;64;4751;2801;2153;648;703;826;7654;12216
2003;3;7717;5649;1411;4238;4172;66;4793;2820;2150;670;765;888;7804;12621
2003;4;8126;6570;2042;4528;4459;69;5267;3330;2559;772;1038;1172;8290;13616
2004;1;7858;5897;1228;4669;4591;78;5240;2774;2156;619;870;1024;7800;13107
2004;2;8397;6281;1505;4776;4684;92;5391;3016;2329;687;715;926;8570;14818
2004;3;9007;6541;1566;4975;4880;95;5599;3048;2333;715;851;1058;9370;15220
2004;4;9459;7450;2134;5317;5220;97;6057;3727;2901;826;1050;1244;9938;16391
2005;1;8979;6783;1419;5364;5269;95;5965;3285;2600;685;979;1143;9231;15419
2005;2;9612;6996;1651;5345;5244;101;6033;3383;2587;796;1088;1219;10112;17044
2005;3;10203;7384;1784;5600;5497;102;6316;3467;2647;820;1033;1207;10314;17531
2005;4;10554;8304;2364;5940;5838;103;6794;4226;3308;919;1262;1378;11498;19509
2006;1;10028;7953;1856;6097;5977;119;6884;3658;2905;753;929;1048;10560;18481
